article_id,article_title,author,date,content
M.1559141511.A.3CD,Re: [討論] GURUGURU人人皆知，IDCC很多人不知道,fatdoghusky (胖胖哈士奇),Wed May 29 22:51:49 2019,整件事情你跟我一樣從頭追到尾就知道掌握資源的政府想要帶動風向是很簡單的事情 台灣靠自己內部的這些網軍、媒體就足夠亂了何須中國介入 整件事情來龍去脈如下 1.中國人上微博說中國派車進機場接人，祖國好棒棒 =>中國人從機場出去的確是專車，不過不是中方派的而是日方派的 =>在機場裡講中文的有同個上車點，也有同個下車點(購物中心)，也跟其他旅客在不同 地點(泉佐野車站)下車，這點不論在事實查核中心或監委報告都有紀載 =>購物中心轉車時有中方外交官上車關心群眾，發放食物飲水 =>部分中國遊客誤以為全程都是中方派出，或是單純想吹捧祖國，所以發了中國派專車 進機場優先載運中國人之微博 2.中國網路媒體引述中國網友微博，歌頌祖國好棒棒 =>這就是台灣常見的上、爆料公社抄新聞 =>引述微博裡面有個網友說台灣人自稱中國人可以跟著上車 3.老實講中國是不是有派車進機場也好，中國人有沒有優先撤離也好，這些都是中國國內 事務，跟台灣一點關係都沒有，就算是假新聞也是呼弄中國人關台灣人屁事 4.有台灣價值的三立跟蘋果把中國新聞未經考證就引入台灣 =>新聞報導重點放在台灣人自稱中國人可以上車，很明顯挑弄族群情緒 5.輿論沸騰，但重點放在中國有做事台灣沒有，藍營跟政論節目都在罵謝長廷跟民進黨 =>就在這時候以自身經驗反駁新聞，主要三個重點： .他在現場有被告知中國派車進機場(以災區現場訊息會誤傳這很正常) .沒有自稱中國人才能上車 .打去辦事處求助回應冷淡(外交部後來回應的確有這通電話會再檢討) =>發文說大阪辦事處非歸謝長廷管，最奇妙的是隔天謝長廷公開說法跟一模 一樣，同篇文章後段痛罵大阪辦事處是黨國餘孽，連日文都不會講 =>輿論更加炎上，部分砲火轉移攻擊大阪辦事處 =>同時間政論節目跟藍營也都在罵謝長廷跟民進黨 6.綠營開始反擊，以中國沒有派車進機場大阪辦事處責任最大做主要論述 =>中國派車進機場的確是假新聞 =>新聞上開始出現：某綠營人士強調大阪辦事處要負最大責任，謝長廷管不到那 麼細，人事權也非在謝長廷身上 =>蔡適應也公開講大阪辦事處神經慢半拍 7.大阪辦事處處長自殺 =>綠營把處長自殺責任全都推到中國假新聞及網友造謠所造成的與論壓力 =>宣傳機器全力開動，不論是從媒體、網軍、檢調等各式管道都全力把責任扣在中國 假新聞跟網友造謠，檢察官起訴 =>甚至還有遺書內容流傳到媒體上，說蘇處長是受不了與論壓力才自殺 8.法院宣判無罪 =>謝長廷在臉書上說他無法接受這個判決，直接公開的真實姓名，並且挑裁判 書對他有利的地方進行攻擊 =>蘇處長遺孀在謝長廷發臉書後沒幾天，首次公開受訪表示 .她對無罪沒有意見 .蘇處長不是那麼脆弱的人，不會因為一些與論壓力而自殺 .蘇處長會自殺是不堪受辱，被他人強加汙點，快退休了還要被調職 .她之前都不受訪是不希望這件事情被當作政治口水戰，但這次真的無法諒解謝長廷 .遺書內容只有家屬看過，外界諸多說法是混淆視聽 =>有新聞說蘇處長會被調職是因為外交部某人想要這個位置，趁此機會把蘇處長 挪開好讓自己上位，還打了通20分鐘電話給蘇處長 =>某人一開始否認說有打電話，後來她跟鄭運鵬進密室會談後出來改口承認有打過電話 總結： 從頭看到完就知道其實就是想操弄與論結果玩火自焚，然後每當事情好不容易要平息的時 候就有豬隊友出手提油上場，把火勢越搞越大，第一次是硬拔蘇處長把人搞到以死明志 第二次事謝長廷發臉書引出遺孀打臉，整件事看下來最噁心有網軍在帶風向攻擊政敵， 出事之後才再那邊喊說都是中國假新聞，五毛五毛叫得很開心，更別提還有政府洩漏假的 遺書內容來推卸責任，所以說有這麼一群優秀的台灣同胞，我們何必懼怕中國網軍呢 網路混久了毒抗都點滿了呢 幹他媽的真可悲 大阪辦事處本來就沒有這個能量派車去接自由行的旅客 也沒那個能量去掌控自由行旅客動態並且安排旅館，其他國家也是相同作法 中國是因為他們人數太多，又是團客比較好掌控才能做到這種地步 所以打電話去找代表處問有沒有旅館本來就有點過分，當然代表處回應態度 或許可以再好一點，但這都無關緊要~_~ 大阪辦事處本來就沒問題啊，當下那種狀況他真的無能為力 只是與論先被挑起來：中國有做事台灣沒有，台灣竟然輸中國這種氛圍 但當時都在罵謝長廷，因為他是日本最大咖，而且原文也沒寫明是大阪辦事處 是那篇才開始把大阪辦事處特別點名出來 更別提他文章用黨國餘孽在偏綠的八卦版想帶什麼風向就可想而知... 中媒吹捧他們政府在帶點政治正確的東西是很正常啦 但台灣真的沒有必要為這種小事在那邊隨之起舞... 我覺得中國一定很莫名其妙，明明什麼都沒做台灣自己亂成一團 就是超級倒楣鬼阿，他在現場被這麼告知是很合乎邏輯的阿 他頂多就是奧客一點上網抱怨接線生態度，沒想到被各方勢力壓在中心打 最噁心的還是謝長廷，把責任都推給他還公布他真實姓名...
M.1559141668.A.7F5,[黑特] 最近是不是太多人炒作政治了,manygod (阿多),Wed May 29 22:54:26 2019,自從某位政治零分的上台之後 台灣政壇至今更加紛紛擾擾 而他則是每天一直創造話題 我覺得大家要冷處理了 看到他的新聞就當沒發生 不然一直幫他炒人氣 這可能是我最後一次政黑發文了 反正我已經很明確要投某個人 現在上演的政治八點檔 劇情如何也完全不影響我 反正政治一直都是有錢人的遊戲 講難聽點 他們很多只是吃飽太閒 出來選個好玩的 我還是腳踏實地充實自己比較實在 共勉之 掰掰政黑板 
M.1559142280.A.C0D,[討論] 韓導議題沒人追...急啊!!??,patentstm (暖暖苗圃沒有樹...),Wed May 29 23:04:38 2019,韓導努力丟新聞 但是晚間新聞政論沒討論 例如質疑機要跟隨扈被滲透 打韓小組 偷公文 6月1號大遊行 被動參選... 反而都追蹤韓導是不是色魔 老婆在家有沒有哭 新莊打麻將 床上有沒有拍到..... 甚至艦長性侵??? 怎麼辦 郭董急急追....?? 
M.1559142402.A.09C,[討論] 再討論一下郭台銘的參選吧,wahaha99 (此方不可長),Wed May 29 23:06:39 2019,認真討論 郭台銘其實是有史以來 我覺得最能接受的國民黨候選人 但我始終不能明白他要如何克服這些問題 1. 他要如何切斷他與鴻海的關係? 最簡單的當然是說出脫鴻海股份、退出鴻海經營 但他的投資夥伴能接受嗎? 好比張忠謀從想退休 到真正能放手不管 台積電經歷了多久、多少波折 你郭董有可能說甩鍋就甩嗎? 難道你的投資夥伴覺得你當集團總裁 是可以說換就換的? 這些還是帳面的 那私下的、情感上的、人際上的呢? 2. 如果鴻海在台灣外受到要脅? 承1 如果鴻海在中國受到要脅 你有可能因為已經出脫持股、退出經營就無視嗎? 你的情感上能接受嗎? 甚至相反的說 在美國受到要脅 你又要怎麼做? 這兩個問題是我覺得最難解決的 有可能解決嗎? 或是說 他有可能提出一個說法 讓大眾覺得算是解決嗎? 好問題 西方的概念是以誠信出發 你說到要做到 人民會先信任你一次 但在台灣似乎沒有這一套 人民往往是以不信任出發的 不過現在不是討論朱 對 所以該怎麼辦呢 你說沒有就沒有喔 那你講話又有價值喔 順便談一下川普集團的差別性好了 鴻海集團太龐大、太跨國、然後有太多投資人 川普集團比起鴻海其實單純的多 規模也小的多 光是員工數就差了50倍 深極炭系列新上市?
M.1559142513.A.CBB,Re: [討論] 如果柯文哲當選總統 會和那一黨合作?,evangelew (uwe),Wed May 29 23:08:31 2019,: 大家都知道 柯文哲沒組黨 就算組了 國會也選不上幾席 : 如果明年他真的贏了總統大選 勢必得和其中一個大黨合作 : 各位認為 柯批會選擇和誰合作呢? : 我總覺得不可能是國民黨 因為他當初參選就是和國民黨有關 : 如果要選擇大黨的支持 是不是閣揆人選就得提個某政黨的人士呢? 閣揆人選 民進黨執政自己都是被戲稱老藍男的慘況 連都是缺人的情況 柯文哲沒任何資源 更只能雙手一攤 即便從文青界挑人 看能找到多少個林洲民、吳音寧 偶爾可以找到幾個林欽榮類型的 但這樣的人才 生活多半也過得不差 想放棄安定的生活 從事政界 少啊 林欽榮也是選擇教職保留優先 柯文哲自己當初要不是莫名其妙的被黑 他也不會從政 至於立院就是等著被杯葛到死吧 國民黨、民進黨、時代力量 只要有立院黨團就能杯葛 我不認為柯主政的情況下 其它政黨會發揮戰力 幫柯來除杯葛 
M.1559142665.A.BF2,[黑特] 沒有一家媒體對PTT站方砍帳號的事感興趣?,octobird (雲煙),Wed May 29 23:11:03 2019,很有趣 平常抄不遺餘力的眾家媒體們 在兩次站方刪除大量帳號後 都選擇默不作聲 明明那些帳號背後的所作所為都很好查清楚 偏偏不敢報導 一下就可以知道有報導刪除帳號這事情的有幾間媒體 以前連勝文網軍事件 被炒作成什麼鬼樣子大家都歷歷在目 站錯邊的站長還因此下台，付出慘痛的代價 結果今天八卦版的事情鬧這麼大 還是沒有記者要搶快搶點閱率來報導 媒體是不是有看不見的手在操作新聞走向呢？ 讓我們繼續看下去....... 那批帳號全跟民進黨網軍有關 這樣會沒新聞爆點也滿奇怪的......
M.1559143118.A.BB1,[黑特] 賴一發文就被噓爆XDDDD,miler22020 (orz),Wed May 29 23:18:36 2019,剛剛打開臉書看到賴發文 那個怒是用飆的耶 而且留言也是被灌爆 是不是有社團集體在洗版啊？ 真的太扯 這種奧步還有人能護航 也是開眼界了 都是真帳號耶 才剛發文一分鐘就一堆人留了長篇大論，也太屌
M.1559143151.A.B84,[討論]終於看破柯文哲手腳了 ,dehuibi (小魚兒),Wed May 29 23:19:09 2019,剛看到這篇新聞 ://./22 柯文哲才是老狐狸吧 韓根本被耍著玩 兩邊都是現在都還是市長任期 誰先鬆口出來選誰就被罵 難怪柯文哲要說八月不宣布要不要參選 越晚出來別人幫他坦的傷害就越多啊 我看韓國瑜是一定要被各方鬥下去了啦 柯文哲這人也沒好到哪 當市長就好好當阿 朱立倫前車之鑑擺在那裏還要貪 想直接跳總統就不要選市長了啦 人民是選來給你請假選總統的? 吃碗裡看碗外 這種人當總統會多好我都不信 如果2024年柯才出來選我道歉無條件投他 今年？吃相好看點可以嗎 題外話 綠那邊只要是英皇出來選我絕對投另一邊啦 只是真的要送英皇下去的話 還是郭比較有戲吧 直接拿四方經濟政策屌打新南向 如果最後真的是郭蔡的話 有在關注經濟的人應該都會選郭才對 
M.1559143270.A.37E,[討論] su127殘黨苟延殘喘手法大公開,raugeon (上輩子的情人),Wed May 29 23:21:08 2019,4 127今天看下來只剩下這幾支帳號了 簡稱代號127123 127123今天的噓文特別節制 這是因為127123 知道他們已經被盯上而且損失慘重 所以剩下的帳號要省著用 現在的127123為了規避216 216.單篇文章下，重複無意義或 相似之推噓文5次以上 ，違者水桶14天 在新的臨時規定訂出來前 最多最多在同一篇文裡只會噓4次 因為超過4次之後就會被檢舉 檢舉就會看板主認定是否為無意義噓文 所以這四大天王 4 一篇文裡面加起來最多就一共16個噓 這就是他們的苟延殘喘最後手法 大公開給大家 笑他們不敢噓5次 
M.1559143455.A.04B,Re: [討論] 再討論一下郭台銘的參選吧,MinoltaSTF (Smooth Trans Focus),Wed May 29 23:24:13 2019,: 認真討論 : 郭台銘其實是有史以來 我覺得最能接受的國民黨候選人 : 但我始終不能明白他要如何克服這些問題 國民黨裡唯一像樣的大概朱立倫。一個16年沒從政跟一個20年沒繳黨費沒當官的，突然跳出來選總統，本質上都是很荒謬的。 而且郭現在應該正忙著救他在貿易戰中水深火熱的的富士康，以至於找來的選舉幕僚淨是出些舔盤吃草綁鞋帶的低能策略。老虎就當老虎，教老虎當隻貓也不會特別惹人喜愛，更多是覺得噁心做作罷了。 旅美歷史學者劉仲敬對郭台銘的評價: .....郭台銘要完，因爲郭台銘是屬這個集團的人。而且我要修正一下，2020年可能不是花錢最多的一年，可能今年（2019年）才是花錢最多的一年。郭台銘的命運跟白區党連在一起，跟改革開放派幹部連在一起，貿易戰一旦開始，他的富士康就要全部垮臺，一個破了産的商人是做不了總統的。 他們目前這種格局就像是，山海關的吳佩孚聽到馮玉祥的大軍開進了北京城、逮 捕了曹錕總統，而他正在前綫跟張作霖打仗，是一樣的事情。他的軍隊會在他自己的手下 瓦解，最後他只能光著屁股、帶著兩個侍從逃走。關公走麥城就是這個樣子的。他已經是 水淹七軍，威震華夏，襄陽、樊城眼看就要拿下來的時候，突然南郡丟掉了。然後他在反 攻南郡的過程中間，走到麥城的時候，身邊已經只剩下關平了，所有的人馬都已經逃走了 。現在郭台銘就處在這種情况下。儘管現在他的聲勢是最盛的，但是幾個月以內，到不了 今年年底，他就要迅速變成光杆司令了。而且由于他本來是一個資本家，恐怕他會人財兩 空，他在大陸的企業也要完，他在臺灣的政治前途也完了。而國民黨這時候陷入極其荒謬 的局面。國民黨在2016年敗選以後，黨産漸漸被剝奪以後，是一個慢性安樂死的局面。這 個很像是弗蘭肯斯坦的小說。一具尸體本來已經快要斷氣了，突然來了一個科學怪人電擊 一下，于是他就變成了活跳尸。他跳起來，而且力量比一般人還要大得多，給人感覺他好 像復活了一樣。但是突然外來的電擊斷掉了，然後他一下子又倒下去。 他們起的作用是，把國民黨本來可以慢慢腐敗解體的組織構架，經過這樣突然向 東折騰一下，突然向西折騰一下，像是弗蘭肯斯坦那具尸體一樣，一下子折騰得尸體的胳 膊和腿都斷了，連死有全尸這件事情都辦不到，變成死無全尸了。這件事情在今年年底就 可以看出來，我覺得十月以後差不多就可以看出來了。所以，2020年大概就是最關鍵的一 年。從臺灣本身的角度來講，臺灣的局勢是已經穩定了，因爲國民黨這樣一折騰已經把自 己搞散了。現在就看柯文哲要不要出來。到今年年底的時候，韓和郭的粉絲都要像大多數 傻逼一樣，後悔自己曾經表現得像個傻逼，然後把全部的痛恨不是放在自己的愚蠢身上， 而是放在那些欺騙了我、使我像個傻逼的前偶像身上。這樣造成的混亂是國民黨在幾個月 內收不回來的。現在這個格局已經是基本穩定了。 : 1. 他要如何切斷他與鴻海的關係? : 最簡單的當然是說出脫鴻海股份、退出鴻海經營 : 但他的投資夥伴能接受嗎? : 好比張忠謀從想退休 到真正能放手不管 : 台積電經歷了多久、多少波折 : 你郭董有可能說甩鍋就甩嗎? : 難道你的投資夥伴覺得你當集團總裁 是可以說換就換的? : 這些還是帳面的 那私下的、情感上的、人際上的呢? : 2. 如果鴻海在台灣外受到要脅? : 承1 如果鴻海在中國受到要脅 : 你有可能因為已經出脫持股、退出經營就無視嗎? : 你的情感上能接受嗎? : 甚至相反的說 在美國受到要脅 : 你又要怎麼做? : 這兩個問題是我覺得最難解決的 : 有可能解決嗎? : 或是說 他有可能提出一個說法 : 讓大眾覺得算是解決嗎?
M.1559143565.A.6E0,[討論] 190529 柯文哲-流浪動物之家採訪逐字稿,hithaman (hithaman),Wed May 29 23:26:03 2019,://./ 柯： 啊 這比較可愛 這狗沒問題啊 這一定有人要 記者： 佩琪同意嗎 佩琪同意嗎 柯： 問題是我家陽台 這麼小你知道 哇 陳佩琪 也不在家 我也不在家 養在那裡就餓死了 記者： 啊要叫什麼名字 要叫什麼名字 柯： 蛤 不知道 這一隻看起來很可愛 記者： 很可愛 那就叫 等一下 你昨天也說誰很可愛 柯： 哈哈哈哈 (跟 鍾小平 議員握手) 工作人員： 給市長抱一下 柯： 這狗要 這我還不太會抱狗 貓比較會抱 ( 抱著小狗受訪 ) 記者： 欸 議座 那個轉正 鍾小平： 好 來 記者： 看這邊喔 柯： 這隻長的比較可愛 這一隻要給它認養比較沒問題 記者： 比較可愛是跟誰比 柯： 不是啊 跟其他的狗啊 有的狗 人家看起來不喜歡 鍾小平： 給牠取名字叫柯...柯粉好了 柯： 柯粉...柯黑會被笑 (呵呵呵) 鍾小平： 柯黑 柯黑是王世 王世堅 定案 這個叫柯粉 柯： 這隻黑的叫柯黑 柯： 沒有 我跟他講 我覺得學校的認養要增加一點 我去看 那奇怪 那校長都不喜歡認養狗 ______________ 鍾小平： 來說明一下 謝謝今天市長願意出席啊 打破 支持我們流浪動物之家 我是 流浪動物之家 的基金會董事長 我們一年 我們養了1000隻狗 報告市長 被 街頭被遺棄的 被受虐的 然後因為現在不景氣 請大家踴躍的支持我們的毛小孩 然後 小額捐款給流浪動物之家基金會 我是董事長 我們還有一個董事很厲害 叫 張善政 柯： 哦 鍾小平： 這也是 我找他一起來共襄盛舉 柯： 他 他募款能力很強 鍾小平： 是 是 他有找人 吶 請市長喔 柯： 奇怪 我的手又沒有塗糖果 怎麼會這樣 ( 柯抱著小狗 小狗一直舔柯的手 ) 鍾小平： 請你捐500塊 養這一隻狗好不好 柯： 沒問題 沒問題啊 可以啦 可以啦 我口袋有1仟塊 我平常很少帶錢 可是1仟塊沒問題 捐個一仟塊沒問題 好啦 好啦 這一隻狗長的比較可愛 跟其他的狗比起來 這一定有人要 一看就知道 鍾小平： 今天 謝謝市長喔 拋磚引玉 來支持毛小孩 支持我們流浪動物之家基金會 也謝謝市長 柯： 牠怎麼一直舔我 很奇怪 鍾小平： 你手上有塗豬油嗎 柯： 我不曉得 沒有塗什麼糖果啊 鍾小平： 你決定 你最後把牠取名字 叫柯黑還是柯粉 ______________ 鍾小平： 好謝謝 謝謝市長 柯： 來 來 掏一仟塊 掏一仟塊 馬上掏一仟塊 馬上掏一仟塊 ( 將小狗交還給工作人員 ) 柯： 1仟塊要捐給 1仟塊要捐給誰 平常很少帶錢你知道 好不容易昨天去上那個東森 東森 它 鍾小平： 您抓這個角(鈔票) 抓這邊 謝謝市長捐一仟塊 來支持流浪動物之家基金會 我們真的很缺錢 快斷糧了 我們要養1000隻狗 我要四處募款 非常謝謝柯市長的愛心 謝謝 柯： 應該的 應該的 鍾小平： 謝謝 謝謝 給市長鼓掌 陳木松： 我們兩個里長( 陳木松 邱文龍 )來 500給你 (排排站合照) 柯： 里長500 市長1000 好 差不多啦 (拍完) 好 好 好 都蝦 都蝦 誰有空請幫忙轉八卦 謝謝 13974682 :轉錄至看板 05/29 23:43
